parameter,default_value,learned_value,range_low,range_high,relative_change
mu_max,0.009,5.4865729907760397e-05,9e-06,9.0,-0.9939038077880267
Ksubs,0.005,0.8821540474891663,5e-07,5.0,175.43080949783325
KLaO2,2.0,2.0000054836273193,0.002,2000.0,2.7418136596679688e-06
KLaCO2,10.0,106.39643859863281,0.01,10000.0,9.63964385986328
