observable,n,rmse,mae,r2
glucose_mol_l,14,0.0007353833144821833,0.00040001326124183834,0.9984169006347656
biomass_g_l,334,0.0970847094200225,0.06963365525007248,0.9896383881568909
O2_l_mol,334,1.8706006305208347e-06,1.0786056918732356e-06,0.9813447594642639
pH,334,0.009335290251550154,0.007131698075681925,0.965990424156189
