parameter,default_value,learned_value,range_low,range_high,relative_change
mu_max,0.009,0.00010502299119252712,9e-06,9.0,-0.9883307787563859
Ksubs,0.005,0.4752720892429352,5e-07,5.0,94.05441784858704
KLaO2,2.0,1.9997073411941528,0.002,2000.0,-0.00014632940292358398
KLaCO2,10.0,417.13958740234375,0.01,10000.0,40.713958740234375
