observable,n,rmse,mae,r2
glucose_mol_l,13,0.000354230378826679,0.00015347261796705425,0.9992836713790894
biomass_g_l,332,0.1497764120560197,0.10826320201158524,0.9911378622055054
O2_l_mol,332,2.6536281998486167e-06,1.1753108992706984e-06,0.9606768488883972
pH,332,0.006964253562892303,0.004594104830175638,0.9809130430221558
