parameter,default_value,learned_value,range_low,range_high,relative_change
mu_max,0.009,0.005040014628320932,9e-06,9.0,-0.4399983746310075
Ksubs,0.005,0.009551696479320526,5e-07,5.0,0.9103392958641052
KLaO2,2.0,1.9999457597732544,0.002,2000.0,-2.7120113372802734e-05
KLaCO2,10.0,10.030425071716309,0.01,10000.0,0.0030425071716308595
