observable,n,nrmse,mae,r2
glucose_g_l,356,0.03535364269748075,0.40311384898731684,0.9646140455342792
biomass_g_l,9231,0.055354293736995144,0.43467772006988525,0.9201921224594116
DO_percent,9453,0.07336958840057423,7.456493854522705,0.8023388981819153
pH,9453,0.06021863207552915,0.08967312425374985,0.9462428689002991
