parameter,default_value,learned_value,range_low,range_high,relative_change
mu_max,0.009,0.0050630816258490086,9e-06,9.0,-0.4374353749056657
Ksubs,0.005,0.009482704102993011,5e-07,5.0,0.8965408205986023
KLaO2,2.0,1.9999457597732544,0.002,2000.0,-2.7120113372802734e-05
KLaCO2,10.0,10.0292329788208,0.01,10000.0,0.0029232978820800783
