parameter,default_value,learned_value,range_low,range_high,relative_change
mu_max,0.009,0.004955256823450327,9e-06,9.0,-0.4494159085055192
Ksubs,0.005,0.009641401469707489,5e-07,5.0,0.9282802939414978
KLaO2,2.0,1.9999457597732544,0.002,2000.0,-2.7120113372802734e-05
KLaCO2,10.0,10.034001350402832,0.01,10000.0,0.0034001350402832033
