parameter,default_value,learned_value,range_low,range_high,relative_change
mu_max,0.009,0.005038673523813486,9e-06,9.0,-0.44014738624294597
Ksubs,0.005,0.009531877934932709,5e-07,5.0,0.9063755869865417
KLaO2,2.0,1.9999457597732544,0.002,2000.0,-2.7120113372802734e-05
KLaCO2,10.0,10.03012752532959,0.01,10000.0,0.0030127525329589843
