Experiment_id,observable,n,nrmse,mae,r2
AMBR1_14,glucose_g_l,8,0.031066308422473335,0.3117703131389866,0.28089022890081394
AMBR1_14,biomass_g_l,250,0.3199551106471394,3.0325190417494112,0.0
AMBR1_14,DO_percent,250,0.004881134845661252,0.45380686468583437,0.0
AMBR1_14,pH,250,0.06527847765516649,0.10047262893705391,0.0
AMBR2_6,glucose_g_l,8,1.125794780199194e-06,1.1219339073775814e-05,
AMBR2_6,biomass_g_l,226,0.24304064890657637,2.3000427791742846,0.0
AMBR2_6,DO_percent,226,0.1081343658285462,11.380444211711787,0.0
AMBR2_6,pH,226,0.0743627223756878,0.15503402594064938,0.0
AMBR2_7,glucose_g_l,8,7.154043753142615e-05,0.0008995690336632532,
AMBR2_7,biomass_g_l,226,0.054214645400075465,0.44402187688907213,0.0
AMBR2_7,DO_percent,226,0.07987845827456296,12.00725752918975,0.0
AMBR2_7,pH,226,0.05331503938241809,0.09325512835140264,0.0
AMBR2_8,glucose_g_l,8,1.1577009161758566e-06,1.1336449776688795e-05,
AMBR2_8,biomass_g_l,225,0.1238851257461453,1.1341466461561174,0.0
AMBR2_8,DO_percent,225,0.13094886249689525,20.041219527286582,0.0
AMBR2_8,pH,225,0.060303855441998,0.12288203384263603,0.0
AMBR2_9,glucose_g_l,8,0.013588028474815331,0.19021827884949744,0.0
AMBR2_9,biomass_g_l,225,0.2437432015256468,2.238962773729759,0.0
AMBR2_9,DO_percent,225,0.2397239007482957,40.26513248013709,0.0
AMBR2_9,pH,225,0.08099307860347622,0.16698812762636053,0.0
AMBR2_10,glucose_g_l,8,0.014324605473309611,0.19995013345032928,
AMBR2_10,biomass_g_l,225,0.12779476865008627,1.131719190119392,0.0
AMBR2_10,DO_percent,225,0.24265939675487905,40.79095979291606,0.0
AMBR2_10,pH,225,0.07657047463199353,0.15898626697941473,0.0
AMBR2_13,glucose_g_l,8,0.0010448019333538874,0.008851219839166305,0.0
AMBR2_13,biomass_g_l,225,0.04052177858983196,0.34360178971228245,0.0
AMBR2_13,DO_percent,225,0.11287850221555208,17.949665898335983,0.0
AMBR2_13,pH,225,0.07315430414576699,0.14207905966459006,0.0
AMBR2_14,glucose_g_l,8,3.999360105870347e-07,3.914066706078856e-06,
AMBR2_14,biomass_g_l,225,0.2988331837019177,2.829253268000648,0.0
AMBR2_14,DO_percent,225,0.13396912185332835,21.595806318909236,0.0
AMBR2_14,pH,225,0.02212292810277533,0.04014366302309505,0.0
AMBR2_15,glucose_g_l,8,0.000713240327205001,0.007892818685213531,0.0
AMBR2_15,biomass_g_l,225,0.09746012772665368,0.8619773611345687,0.0
AMBR2_15,DO_percent,225,0.083406480979034,12.73306439264695,0.0
AMBR2_15,pH,225,0.0512620133462093,0.08991551319029298,0.0
AMBR2_16,glucose_g_l,8,0.0009719097567417278,0.014988376523200272,0.0
AMBR2_16,biomass_g_l,225,0.2604338060567563,2.4521389692759157,0.0
AMBR2_16,DO_percent,225,0.12893110682109665,19.55249991181784,0.0
AMBR2_16,pH,225,0.060777420307798764,0.12515363959476947,0.0
AMBR2_19,glucose_g_l,9,0.001317135431098017,0.019602483187333968,0.0
AMBR2_19,biomass_g_l,224,0.13731353035480504,1.0632579990550715,0.0
AMBR2_19,DO_percent,224,0.27412635050804884,47.460915605661015,0.0
AMBR2_19,pH,224,0.10632087266890898,0.22588491052884105,0.0
AMBR1_15,glucose_g_l,8,0.0018002284772947888,0.013629658952240213,
AMBR1_15,biomass_g_l,250,0.2672590868780083,2.5431654633297556,0.0
AMBR1_15,DO_percent,250,0.006517733264399452,0.7914110232611651,0.0
AMBR1_15,pH,250,0.06420216804238867,0.12497790818285691,0.0
AMBR2_20,glucose_g_l,9,0.003161480647819062,0.02684779244007786,0.6299465407248994
AMBR2_20,biomass_g_l,224,0.09584378340974836,0.8214688796988645,0.0
AMBR2_20,DO_percent,224,0.4465312882666526,78.55000668388695,0.0
AMBR2_20,pH,224,0.15567189976015758,0.3275326318852664,0.0
