observable,n,nrmse,mae,r2
glucose_g_l,215,0.02831038336167628,0.39227565407802323,0.9833583685778708
biomass_g_l,4902,0.046142379488249355,0.35307949781417847,0.9562469720840454
DO_percent,5180,0.06260828696916347,6.053191184997559,0.911936342716217
pH,5180,0.06241165120280774,0.1015685424208641,0.942397952079773
