parameter,default_value,learned_value,range_low,range_high,relative_change
mu_max,0.009,0.004567946307361126,9e-06,9.0,-0.4924504102932082
Ksubs,0.005,0.010439805686473846,5e-07,5.0,1.0879611372947693
KLaO2,2.0,1.9999457597732544,0.002,2000.0,-2.7120113372802734e-05
KLaCO2,10.0,10.047412872314453,0.01,10000.0,0.004741287231445313
