parameter,default_value,learned_value,range_low,range_high,relative_change
mu_max,0.009,0.005296165123581886,9e-06,9.0,-0.4115372084909015
Ksubs,0.005,0.006045900750905275,5e-07,5.0,0.20918015018105504
KLaO2,2.0,1.9999457597732544,0.002,2000.0,-2.7120113372802734e-05
KLaCO2,10.0,10.075128555297852,0.01,10000.0,0.007512855529785156
