parameter,default_value,learned_value,range_low,range_high,relative_change
mu_max,0.009,0.005049670580774546,9e-06,9.0,-0.43892549102505046
Ksubs,0.005,0.009539328515529633,5e-07,5.0,0.9078657031059265
KLaO2,2.0,1.9999457597732544,0.002,2000.0,-2.7120113372802734e-05
KLaCO2,10.0,10.028935432434082,0.01,10000.0,0.002893543243408203
