Experiment_id,observable,n,nrmse,mae,r2
AMBR1_14,glucose_g_l,135,0.007793053982744203,0.07494523734029918,0.0
AMBR1_14,biomass_g_l,151,0.02933115179276968,0.2878613764325889,0.0
AMBR1_14,DO_percent,151,0.05263417829030974,6.515564638987473,0.0
AMBR1_14,pH,151,0.012378749361506998,0.023585286182232205,0.0
AMBR1_15,glucose_g_l,135,0.00029998774278933247,0.004467650987983943,
AMBR1_15,biomass_g_l,151,0.05794981325265616,0.5903621914090209,0.0
AMBR1_15,DO_percent,151,0.007713508365468309,1.2011450441461855,0.0
AMBR1_15,pH,151,0.022719875806978783,0.04430722073166932,0.0
AMBR1_16,glucose_g_l,135,0.000512658235908859,0.00784711891060897,
AMBR1_16,biomass_g_l,151,0.0337693637468864,0.3359590962564646,0.0
AMBR1_16,DO_percent,151,0.007461442704971794,1.1598018470499565,0.0
AMBR1_16,pH,151,0.04612095564445003,0.09575670126569158,0.0
AMBR1_17,glucose_g_l,135,0.0012149773797282904,0.01904409755952652,
AMBR1_17,biomass_g_l,151,0.02521829847875983,0.25051118983796516,0.0
AMBR1_17,DO_percent,151,0.009405548138537369,1.5324181274255173,0.0
AMBR1_17,pH,151,0.08038782185270626,0.16869881061190223,0.0
AMBR1_18,glucose_g_l,135,0.0037395150924659512,0.059252378013398874,
AMBR1_18,biomass_g_l,150,0.024025743188901178,0.21982752031613453,0.0
AMBR1_18,DO_percent,150,0.006054116345034785,0.7872214567088685,0.0
AMBR1_18,pH,150,0.16613711517525256,0.3527339172550188,0.0
AMBR1_21,glucose_g_l,136,0.00024211611215530098,0.0035864255131694317,
AMBR1_21,biomass_g_l,150,0.018249188756292885,0.17078937516608084,0.0
AMBR1_21,DO_percent,150,0.11125125564606014,19.573480895674276,0.0
AMBR1_21,pH,150,0.03662146355059628,0.07561877808255513,0.0
AMBR1_22,glucose_g_l,137,0.00020314793868517504,0.002993464349882871,
AMBR1_22,biomass_g_l,150,0.030046768139230722,0.29667953512630213,0.0
AMBR1_22,DO_percent,150,0.17822519298393474,30.08825653912489,0.0
AMBR1_22,pH,150,0.039930538140234104,0.08243959750626616,0.0
AMBR1_23,glucose_g_l,137,0.0001688934065094475,0.002483246494917297,
AMBR1_23,biomass_g_l,150,0.046439550565550096,0.4771042722048933,0.0
AMBR1_23,DO_percent,150,0.18964052914568913,31.98785397391893,0.0
AMBR1_23,pH,150,0.04070013142601778,0.0838069438956197,0.0
AMBR1_24,glucose_g_l,137,0.00014236707991792917,0.0020877166527338213,
AMBR1_24,biomass_g_l,150,0.06150479194904237,0.6314698942962743,0.0
AMBR1_24,DO_percent,150,0.19688333152781567,33.353413323117856,0.0
AMBR1_24,pH,150,0.06998457399779594,0.147573249549561,0.0
AMBR2_5,glucose_g_l,52,0.0006515639539234758,0.010846162844612484,0.0
AMBR2_5,biomass_g_l,136,0.17142516735941846,1.6903519417416564,0.0
AMBR2_5,DO_percent,136,0.02213103069782282,3.6624797578187045,0.0
AMBR2_5,pH,136,0.012508193273687731,0.022867789476938984,0.0
AMBR2_6,glucose_g_l,52,6.837691593059118e-05,0.0012855655345796594,
AMBR2_6,biomass_g_l,136,0.04890248211746181,0.5022349193600637,0.0
AMBR2_6,DO_percent,136,0.0001645255288841794,0.022848058763421285,0.0
AMBR2_6,pH,136,0.06938937937581183,0.14668035379859118,0.0
AMBR2_7,glucose_g_l,52,0.00019173571265441593,0.003633444591496948,
AMBR2_7,biomass_g_l,136,0.12661174122738741,1.2309565562014977,0.0
AMBR2_7,DO_percent,136,0.016870705279749158,2.669006310385934,0.0
AMBR2_7,pH,136,0.026846365364277203,0.038920102048110215,0.0
AMBR2_8,glucose_g_l,52,6.45387696792801e-05,0.0012064005131832828,
AMBR2_8,biomass_g_l,135,0.1002240505227632,1.0421230798743943,0.0
AMBR2_8,DO_percent,135,0.19163254465571294,33.32163863216708,0.0
AMBR2_8,pH,135,0.015541965150530712,0.028357479778557862,0.0
AMBR2_9,glucose_g_l,52,0.0016884977033689895,0.02756743014336373,0.0
AMBR2_9,biomass_g_l,135,0.1699842099875281,1.428569624416822,0.0
AMBR2_9,DO_percent,135,0.17649923366730846,30.377962953175672,0.0
AMBR2_9,pH,135,0.06823202893514921,0.14401468249767813,0.0
AMBR2_10,glucose_g_l,52,0.002095069541022694,0.03964841039851303,
AMBR2_10,biomass_g_l,135,0.27449988079278287,2.533027302484241,0.0
AMBR2_10,DO_percent,135,0.17282980035375758,29.690802003633433,0.0
AMBR2_10,pH,135,0.06193416579437252,0.13048928861926284,0.0
AMBR2_13,glucose_g_l,53,0.0010010061736097898,0.012117988578097037,0.0
AMBR2_13,biomass_g_l,135,0.08000189457816781,0.7731766178527489,0.0
AMBR2_13,DO_percent,135,0.06188392485097402,10.049621955471395,0.0
AMBR2_13,pH,135,0.037632588374227366,0.07448371684744265,0.0
AMBR2_14,glucose_g_l,53,4.607832109603897e-05,0.0008550851429012661,
AMBR2_14,biomass_g_l,135,0.07872933141996583,0.8167683180881906,0.0
AMBR2_14,DO_percent,135,0.19882307093162516,34.19278917233357,0.0
AMBR2_14,pH,135,0.09704954370724485,0.20526050245268823,0.0
AMBR2_15,glucose_g_l,54,0.0004983112444853617,0.007609539726536506,0.0
AMBR2_15,biomass_g_l,135,0.0667873145929939,0.5693666123698112,0.0
AMBR2_15,DO_percent,135,0.01813116692970721,2.8000361292213527,0.0
AMBR2_15,pH,135,0.021548854858015273,0.037403968204736904,0.0
AMBR2_16,glucose_g_l,54,0.0007217082939192446,0.01210088214253501,0.0
AMBR2_16,biomass_g_l,135,0.044287657485790305,0.45025064379306606,0.0
AMBR2_16,DO_percent,135,0.1842991742159902,31.787923018775903,0.0
AMBR2_16,pH,135,0.009879350503791136,0.01802256974747888,0.0
AMBR2_19,glucose_g_l,55,0.0008753411781033271,0.011188113950352312,0.0
AMBR2_19,biomass_g_l,135,0.017952770382306485,0.16627145789325445,0.23806078049293278
AMBR2_19,DO_percent,135,0.17341729112379256,28.70081067992188,0.0
AMBR2_19,pH,135,0.08551459944569006,0.1807420809389194,0.0
AMBR2_20,glucose_g_l,55,0.00037990924397855323,0.00706751632334829,
AMBR2_20,biomass_g_l,135,0.01843800732043572,0.16712065863697334,0.2992668937100452
AMBR2_20,DO_percent,135,0.14077385689138247,21.33101632786213,0.0
AMBR2_20,pH,135,0.14246465028559532,0.29985094797135037,0.0
AMBR2_21,glucose_g_l,55,0.0006763098898839119,0.011835881291916813,0.0
AMBR2_21,biomass_g_l,135,0.03689218234609718,0.3821012018810279,0.0
AMBR2_21,DO_percent,135,0.10141122918011634,15.14116361236509,0.0
AMBR2_21,pH,135,0.19134923495698644,0.4016063114098996,0.0
