observation_fraction,seed,training_time_s,forecasting_time_s
0.1,42,1601.9946125809947,16.103111107993755
0.2,42,1570.164457795996,16.04974606000178
0.3,42,1559.65563003,15.912651272999938
0.4,42,1541.8042359760002,16.038802408002084
0.5,42,1461.4831663549994,15.516810401997644
0.6,42,1407.0971126989898,16.390024192995043
0.7,42,1431.495305991004,14.840566200000469
0.8,42,1296.902360936001,15.850718811008846
