parameter,default_value,learned_value,range_low,range_high,relative_change
mu_max,0.009,0.004996294621378183,9e-06,9.0,-0.44485615318020183
Ksubs,0.005,0.009624414145946503,5e-07,5.0,0.9248828291893005
KLaO2,2.0,1.9999457597732544,0.002,2000.0,-2.7120113372802734e-05
KLaCO2,10.0,10.030723571777344,0.01,10000.0,0.003072357177734375
