parameter,default_value,learned_value,range_low,range_high,relative_change
mu_max,0.009,0.0049069770611822605,9e-06,9.0,-0.45478032653530437
Ksubs,0.005,0.007309072185307741,5e-07,5.0,0.4618144370615482
KLaO2,2.0,1.9999457597732544,0.002,2000.0,-2.7120113372802734e-05
KLaCO2,10.0,10.052181243896484,0.01,10000.0,0.005218124389648438
