parameter,default_value,learned_value,range_low,range_high,relative_change
mu_max,0.009,0.004995489958673716,9e-06,9.0,-0.4449455601473649
Ksubs,0.005,0.009634546935558319,5e-07,5.0,0.9269093871116638
KLaO2,2.0,1.9999457597732544,0.002,2000.0,-2.7120113372802734e-05
KLaCO2,10.0,10.029531478881836,0.01,10000.0,0.0029531478881835937
