Experiment_id,condition_label,DO_setpoint,initial_time_h,initial_DO_percent,initial_minus_100,end_time_h,end_DO_percent,end_minus_100,end_minus_setpoint
AMBR1_14,pH8_DO100_G10_AFR100,100.0,0.0,99.9466321100108,-0.05336788998920383,41.6666666666667,101.835297238113,1.8352972381130002,1.8352972381130002
AMBR1_15,pH7.5_DO100_G10_AFR100,100.0,0.0,99.8696364985357,-0.1303635014643021,41.6666666666667,102.207307226012,2.2073072260120057,2.2073072260120057
AMBR1_16,pH7_DO100_G10_AFR100,100.0,0.0,99.9006302362845,-0.09936976371550088,41.6666666666667,102.078412644833,2.0784126448329943,2.0784126448329943
AMBR1_17,pH6.5_DO100_G10_AFR100,100.0,0.0,99.9016850061955,-0.09831499380449316,41.6666666666667,102.494976266116,2.494976266115998,2.494976266115998
AMBR1_18,pH6_DO100_G10_AFR100,100.0,0.0,99.9159280184346,-0.08407198156540119,41.5833333333333,102.103630366857,2.103630366857004,2.103630366857004
AMBR1_21,pH7.5_DO80_G10_AFR100,80.0,0.0,99.6396036621589,-0.36039633784109526,41.5833333333333,102.347868854454,2.3478688544540063,22.347868854454006
AMBR1_22,pH7.5_DO60_G10_AFR100,60.0,0.0,99.4562195300956,-0.5437804699044051,41.5,102.261695360043,2.2616953600430065,42.26169536004301
AMBR1_23,pH7.5_DO40_G10_AFR100,40.0,0.0,99.4873096901626,-0.5126903098373958,41.5,102.237515376526,2.237515376526005,62.237515376526005
AMBR1_24,pH7.5_DO20_G10_AFR100,20.0,0.0,99.6537922416429,-0.34620775835709594,41.5,102.384923503914,2.3849235039139955,82.384923503914
AMBR2_5,pH6.5_DO100_G10_AFR100,100.0,0.0,100.05291221901,0.052912219009996875,37.5833333333333,100.057609889223,0.05760988922300214,0.05760988922300214
AMBR2_6,pH7.5_DO100_G10_AFR100,100.0,0.0,99.9877639491172,-0.012236050882805216,37.5833333333333,100.090437898539,0.09043789853899398,0.09043789853899398
AMBR2_7,pH6.5_DO20_G10_AFR100,20.0,0.0,99.7416286959729,-0.25837130402709363,37.5833333333333,99.5205321065074,-0.4794678934925969,79.5205321065074
AMBR2_8,pH7.5_DO20_G10_AFR100,20.0,0.0,99.9357255229983,-0.06427447700170319,37.5,99.4361562230134,-0.5638437769866016,79.4361562230134
AMBR2_9,pH6.3_DO20_G20_AFR100,20.0,0.0,99.6911064634308,-0.30889353656920093,37.5,98.4177542669365,-1.5822457330635018,78.4177542669365
AMBR2_10,pH6.3_DO20_G20_AFR100,20.0,0.0,100.101020847838,0.1010208478380008,37.5,98.8598989051742,-1.1401010948257948,78.8598989051742
AMBR2_13,pH6.5_DO20_G7_AFR100,20.0,0.0,99.9601456664065,-0.039854333593495994,37.4166666666667,100.438407863617,0.4384078636170017,80.438407863617
AMBR2_14,pH7.5_DO20_G7_AFR100,20.0,0.0,99.7941504003225,-0.2058495996775065,37.4166666666667,100.409368897998,0.40936889799799303,80.409368897998
AMBR2_15,pH6.5_DO5_G10_AFR100,5.0,0.0,99.7897994482874,-0.2102005517126031,37.3333333333333,99.4818291429158,-0.5181708570842005,94.4818291429158
AMBR2_16,pH7.5_DO5_G10_AFR100,5.0,0.0,100.01777704561,0.017777045610003483,37.3333333333333,99.5283675991977,-0.4716324008023065,94.5283675991977
AMBR2_19,pH7.3_DO0_G10_AFR60,0.0,0.0,99.9421017203847,-0.05789827961530136,37.25,98.8701958928384,-1.129804107161604,98.8701958928384
AMBR2_20,pH7.3_DO0_G10_AFR40,0.0,0.0,99.694146721337,-0.30585327866299394,37.25,98.4546557260346,-1.545344273965398,98.4546557260346
AMBR2_21,pH7.3_DO0_G10_AFR20,0.0,0.0,99.9930840722479,-0.006915927752103812,37.25,97.6901547865926,-2.3098452134073995,97.6901547865926
