Experiment_id,condition_label,DO_setpoint,end_time_h,end_DO_percent,last_60min_DO_mean,last_60min_DO_min,last_60min_DO_max,end_minus_100,end_minus_setpoint
AMBR1_13,pH8.5_DO100_G10_AFR100,100.0,41.75,99.9289751331308,100.11564206507953,99.8309193977211,100.329979233829,-0.07102486686919462,-0.07102486686919462
AMBR1_14,pH8_DO100_G10_AFR100,100.0,41.6666666666667,101.835297238113,101.76482833578748,101.683278959484,101.840092943414,1.8352972381130002,1.8352972381130002
AMBR1_15,pH7.5_DO100_G10_AFR100,100.0,41.6666666666667,102.207307226012,102.13501008352715,102.01221201978,102.207307226012,2.2073072260120057,2.2073072260120057
AMBR1_16,pH7_DO100_G10_AFR100,100.0,41.6666666666667,102.078412644833,102.05941731188679,102.000346812169,102.113463176073,2.0784126448329943,2.0784126448329943
AMBR1_17,pH6.5_DO100_G10_AFR100,100.0,41.6666666666667,102.494976266116,102.44393832238805,102.384670885046,102.504131962436,2.494976266115998,2.494976266115998
AMBR1_18,pH6_DO100_G10_AFR100,100.0,41.5833333333333,102.103630366857,101.99921071542794,101.92079746418,102.103630366857,2.103630366857004,2.103630366857004
AMBR1_19,pH5.5_DO100_G10_AFR100,100.0,41.5833333333333,100.996015755426,100.597918313554,100.157635027407,101.026358598468,0.9960157554260007,0.9960157554260007
AMBR1_21,pH7.5_DO80_G10_AFR100,80.0,41.5833333333333,102.347868854454,102.2226957636654,102.146048081783,102.347868854454,2.3478688544540063,22.347868854454006
AMBR1_22,pH7.5_DO60_G10_AFR100,60.0,41.5,102.261695360043,102.11869831794485,102.035857655461,102.261695360043,2.2616953600430065,42.26169536004301
AMBR1_23,pH7.5_DO40_G10_AFR100,40.0,41.5,102.237515376526,102.11206214947032,102.028450422462,102.237515376526,2.237515376526005,62.237515376526005
AMBR1_24,pH7.5_DO20_G10_AFR100,20.0,41.5,102.384923503914,102.43015499417129,102.382818220987,102.495932095802,2.3849235039139955,82.384923503914
AMBR2_10,pH6.3_DO20_G20_AFR100,20.0,37.5,98.8598989051742,98.83937787145746,98.7619223693706,98.8973880665344,-1.1401010948257948,78.8598989051742
AMBR2_11,pH6.5_DO20_G4_AFR100,20.0,37.4166666666667,100.700979663116,100.69031801415753,100.6143326796,100.740003793596,0.7009796631160015,80.700979663116
AMBR2_12,pH7.5_DO20_G4_AFR100,20.0,37.4166666666667,100.813624754113,100.72590110768536,100.666289688671,100.813624754113,0.8136247541129933,80.813624754113
AMBR2_13,pH6.5_DO20_G7_AFR100,20.0,37.4166666666667,100.438407863617,100.40051858161468,100.338445543946,100.45784070036,0.4384078636170017,80.438407863617
AMBR2_14,pH7.5_DO20_G7_AFR100,20.0,37.4166666666667,100.409368897998,100.29354165196507,100.194033617565,100.409368897998,0.40936889799799303,80.409368897998
AMBR2_15,pH6.5_DO5_G10_AFR100,5.0,37.3333333333333,99.4818291429158,99.4545163424594,99.4039212444707,99.5415975222729,-0.5181708570842005,94.4818291429158
AMBR2_16,pH7.5_DO5_G10_AFR100,5.0,37.3333333333333,99.5283675991977,99.42777748004151,99.3669477895642,99.5283675991977,-0.4716324008023065,94.5283675991977
AMBR2_17,pH6.5_DO0_G10_AFR0,0.0,37.3333333333333,-0.230029437496746,-0.19089775124708938,-0.233519370198608,0.251446314640512,-100.23002943749674,-0.230029437496746
AMBR2_18,pH7.5_DO0_G10_AFR0,0.0,37.25,-0.200064693468705,-0.20163669175572302,-0.203724794400928,-0.199686324688404,-100.2000646934687,-0.200064693468705
AMBR2_19,pH7.3_DO0_G10_AFR60,0.0,37.25,98.8701958928384,98.76995923233235,98.6562662832354,98.8701958928384,-1.129804107161604,98.8701958928384
AMBR2_20,pH7.3_DO0_G10_AFR40,0.0,37.25,98.4546557260346,98.33460077504849,98.1857192598686,98.4546557260346,-1.545344273965398,98.4546557260346
AMBR2_21,pH7.3_DO0_G10_AFR20,0.0,37.25,97.6901547865926,97.54541428067866,97.3757843944499,97.6988707833937,-2.3098452134073995,97.6901547865926
AMBR2_22,pH7.3_DO0_G10_AFR10,0.0,37.1666666666667,93.0902067848912,92.65584620634743,91.9059178183666,93.0902067848912,-6.909793215108806,93.0902067848912
AMBR2_23,pH7.3_DO0_G10_AFR5,0.0,37.1666666666667,78.2360248747492,76.91374055362176,74.5468223432179,78.2360248747492,-21.763975125250795,78.2360248747492
AMBR2_24,pH7.5_DO0_G10_AFR0,0.0,37.1666666666667,-0.403202176770948,-0.39647514482600166,-0.403202176770948,-0.394117581230184,-100.40320217677095,-0.403202176770948
AMBR2_5,pH6.5_DO100_G10_AFR100,100.0,37.5833333333333,100.057609889223,100.00438565621758,99.9539391922319,100.057609889223,0.05760988922300214,0.05760988922300214
AMBR2_6,pH7.5_DO100_G10_AFR100,100.0,37.5833333333333,100.090437898539,100.00895970929956,99.9715070644754,100.090437898539,0.09043789853899398,0.09043789853899398
AMBR2_7,pH6.5_DO20_G10_AFR100,20.0,37.5833333333333,99.5205321065074,99.5195691461344,99.4152365040179,99.5791976937384,-0.4794678934925969,79.5205321065074
AMBR2_8,pH7.5_DO20_G10_AFR100,20.0,37.5,99.4361562230134,99.42170506215975,99.3714881844721,99.5142992317961,-0.5638437769866016,79.4361562230134
AMBR2_9,pH6.3_DO20_G20_AFR100,20.0,37.5,98.4177542669365,98.38634055151648,98.3200912769633,98.4664508041946,-1.5822457330635018,78.4177542669365
