Experiment_id,time_h,time_min,volume_l,air_flow_l_min,sampling_rate_l_min,acid_rate_l_min,base_rate_l_min,initial_biomass_g_l,initial_glucose_mol_l,initial_pH,initial_volume_l,glucose_mol_l,biomass_g_l,O2_l_mol,pH,OUR_mol_min,CER_mol_min,CO2_offgas_fraction,RQ
AMBR1_13,0.0,0.0,0.200140102995565,0.10498631486651899,0.0,0.0,0.0,0.04267000000000001,0.055507449099669176,8.5,0.2,,0.49533792098687135,5.5464148674072466e-05,8.46414078778375,,6.113413584041617e-06,0.000255392649727547,
AMBR1_13,0.0833333333333333,4.999999999999998,0.209922825473143,0.104505194611236,0.0,0.0,1.58378582693008e-05,0.04267000000000001,0.055507449099669176,8.5,0.2,,0.6031399415576784,5.791916895148241e-05,8.48526998342224,,5.917454125748317e-06,0.00031698460687481703,
AMBR1_13,0.166666666666667,10.00000000000002,0.20992149238239902,0.104640605699305,0.0,0.0,5.838490145471972e-07,0.04267000000000001,0.055507449099669176,8.5,0.2,,0.5240537880271544,5.837465134938973e-05,8.51157559568479,,7.402483199689733e-06,0.000326169492476599,
AMBR1_13,0.25,15.0,0.209915948139138,0.10473434273472,0.0,0.0,0.0,0.04267000000000001,0.055507449099669176,8.5,0.2,,0.4968521813189195,5.830670052163726e-05,8.51549504056023,,7.648183689327783e-06,0.000336882066854333,
AMBR1_13,0.333333333333333,19.99999999999998,0.20905651264690597,0.104763977294695,0.0003000000000000013,0.0,0.0,0.04267000000000001,0.055507449099669176,8.5,0.2,0.05627111525566731,0.5415409118205085,5.8018318544290045e-05,8.51658044960438,,7.695843584053667e-06,0.000333537065775996,
AMBR1_13,0.416666666666667,25.00000000000002,0.208110858099814,0.104785815702052,0.0,0.0,0.0,0.04267000000000001,0.055507449099669176,8.5,0.2,,0.5042785286832667,5.776453032417642e-05,8.51464513729704,,7.688242115691267e-06,0.000329999998211861,
AMBR1_13,0.5,30.0,0.208105312263934,0.10476207227656001,0.0,0.0,0.0,0.04267000000000001,0.055507449099669176,8.5,0.2,,0.4631030333146923,5.7762296293587105e-05,8.51243124525665,,7.539087632702167e-06,0.000329197252178847,
AMBR1_13,0.583333333333333,34.999999999999986,0.208099762269313,0.10476741610917,0.0,0.0,0.0,0.04267000000000001,0.055507449099669176,8.5,0.2,,0.5039248201417548,5.7739132373754235e-05,8.50951003597612,,7.5431366677864e-06,0.000329347590360243,
AMBR1_13,0.666666666666667,40.000000000000014,0.208094212035038,0.104786103700078,0.0,0.0,0.0,0.04267000000000001,0.055507449099669176,8.5,0.2,,0.4976988425795388,5.7764069399776187e-05,8.50687133510829,,7.486700257666767e-06,0.000326874685956857,
AMBR1_13,0.75,45.0,0.208088667969202,0.104765941346705,0.0,0.0,0.0,0.04267000000000001,0.055507449099669176,8.5,0.2,,0.48861984803071457,5.772668725104592e-05,8.50402503610255,,7.456744211843667e-06,0.00032550395124342305,
