Experiment_id,condition_label,label_pH,first_raw_pH,median_raw_pH,raw_pH_min,raw_pH_max,pH_first_minus_label,label_DO,first_raw_DO_percent,median_raw_DO_percent,raw_DO_min,raw_DO_max,DO_min_minus_label,label_glucose_g_l,first_offline_glucose_g_l,glucose_first_minus_label,label_AFR_ml_min,first_raw_air_flow_ml_min,median_raw_air_flow_ml_min,raw_air_flow_min,raw_air_flow_max,air_median_minus_label
AMBR1_13,pH8.5_DO100_G10_AFR100,8.5,8.46414078778375,8.47833260711181,8.46414078778375,8.59902372110058,-0.035859212216250214,100.0,99.8720195738069,100.032775313902,98.7697956937449,103.50835203972,-1.2302043062551036,10.0,10.13757904,0.13757904000000032,100.0,104.986314866519,101.63799537291149,0.0,105.049640300765,1.6379953729114902
AMBR1_14,pH8_DO100_G10_AFR100,8.0,7.98085251592313,8.0841248402661,7.97131798058789,8.09995529432825,-0.01914748407687039,100.0,99.9466321100108,100.032727007554,95.2292218173466,106.676264458674,-4.770778182653402,10.0,10.19338875,0.19338875000000044,100.0,104.963529319921,92.01669141429664,0.0,105.054683537747,-7.983308585703355
AMBR1_15,pH7.5_DO100_G10_AFR100,7.5,7.47914260034155,7.5731457148545,7.47136084318358,7.60029259268607,-0.020857399658449793,100.0,99.8696364985357,100.086223266237,92.1826712967424,123.097061361132,-7.817328703257601,10.0,10.11023542,0.11023542000000042,100.0,104.958267602474,83.12392095659725,0.0,105.048875071795,-16.876079043402754
AMBR1_16,pH7_DO100_G10_AFR100,7.0,7.00179818801586,7.06629435308171,6.96987998494956,7.10009977683095,0.0017981880158597363,100.0,99.9006302362845,100.056866983211,87.85074409601,119.895346151621,-12.149255903989996,10.0,10.31303216,0.31303216000000056,100.0,104.888013618423,93.9827190180306,0.0,105.064394670119,-6.017280981969407
AMBR1_17,pH6.5_DO100_G10_AFR100,6.5,6.50111967061284,6.55893536659155,6.46999746976075,6.6009077372335,0.001119670612840018,100.0,99.9016850061955,100.067666958186,95.2633307050207,119.972826445334,-4.7366692949792935,10.0,10.11772947,0.11772947000000045,100.0,104.957581289238,90.1957192296538,0.0,105.084061815686,-9.804280770346196
AMBR1_18,pH6_DO100_G10_AFR100,6.0,6.03450735557395,6.028567287065904,5.97028433158826,6.10019428164851,0.03450735557395035,100.0,99.9159280184346,99.9911668474706,93.8895870838948,111.820046595729,-6.110412916105204,10.0,10.19375353,0.1937535300000004,100.0,104.911969917231,87.8829047783962,0.0,105.044014238526,-12.117095221603805
AMBR1_19,pH5.5_DO100_G10_AFR100,5.5,5.49837606961542,5.511353252371355,5.47029204810011,5.59967527275676,-0.0016239303845804187,100.0,99.8724248869149,99.99507239931015,72.2031210546809,114.240397480052,-27.796878945319094,10.0,9.9625653,-0.037434700000000376,100.0,104.861648312537,92.921427457193,0.0,105.030265973606,-7.078572542806995
AMBR1_20,pHNA_DO0_G10_AFR100,,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,10.0,nan,nan,100.0,nan,nan,nan,nan,nan
AMBR1_21,pH7.5_DO80_G10_AFR100,7.5,7.47019848198447,7.5600004196167,7.46998039246901,7.60291178442604,-0.029801518015529993,80.0,99.6396036621589,96.38940810840094,74.1817453623787,102.347868854454,-5.818254637621294,10.0,10.34880376,0.34880375999999913,100.0,104.984285895079,88.8389806979715,0.0,105.063173282275,-11.161019302028507
AMBR1_22,pH7.5_DO60_G10_AFR100,7.5,7.47450071924927,7.57269208288903,7.47032636895737,7.60000668033234,-0.025499280750730158,60.0,99.4562195300956,95.4618082784505,54.2033481282652,102.261695360043,-5.796651871734802,10.0,10.15674251,0.15674251000000083,100.0,105.010395353363,94.50046326775521,0.0,105.062372819009,-5.499536732244792
