Experiment_id,condition_label,initial_pH,pH_n,pH_min,pH_median,pH_mean,pH_max,min_minus_initial,median_minus_initial,max_minus_initial,range_width,max_abs_deviation,outside_initial_pm0p1_n,outside_initial_pm0p1_percent
AMBR1_14,pH8_DO100_G10_AFR100,8.0,501,7.97131798058789,8.0841248402661,8.043537696746736,8.09995529432825,-0.028682019412110016,0.08412484026609945,0.09995529432825023,0.12863731374036025,0.09995529432825023,0,0.0
AMBR1_15,pH7.5_DO100_G10_AFR100,7.5,501,7.47136084318358,7.5731457148545,7.545557217318352,7.60029259268607,-0.028639156816420375,0.07314571485450028,0.1002925926860696,0.12893174950248998,0.1002925926860696,1,0.19960079840319359
AMBR1_16,pH7_DO100_G10_AFR100,7.0,501,6.96987998494956,7.06629435308171,7.032959156327581,7.10009977683095,-0.030120015050440152,0.06629435308170972,0.10009977683094995,0.1302197918813901,0.10009977683094995,1,0.19960079840319359
AMBR1_17,pH6.5_DO100_G10_AFR100,6.5,501,6.46999746976075,6.55893536659155,6.5342773324443195,6.6009077372335,-0.03000253023925037,0.058935366591549965,0.10090773723350033,0.1309102674727507,0.10090773723350033,6,1.1976047904191618
AMBR1_18,pH6_DO100_G10_AFR100,6.0,500,5.97028433158826,6.028567287065904,6.030025634613256,6.10019428164851,-0.02971566841173967,0.028567287065904168,0.10019428164850996,0.12990995006024963,0.10019428164850996,1,0.2
AMBR1_21,pH7.5_DO80_G10_AFR100,7.5,500,7.46998039246901,7.5600004196167,7.5371979808797915,7.60291178442604,-0.0300196075309902,0.06000041961670011,0.10291178442604032,0.13293139195703052,0.10291178442604032,1,0.2
AMBR1_22,pH7.5_DO60_G10_AFR100,7.5,499,7.47032636895737,7.57269208288903,7.543073765921588,7.60000668033234,-0.029673631042630433,0.07269208288902984,0.10000668033234028,0.1296803113749707,0.10000668033234028,1,0.2004008016032064
AMBR1_23,pH7.5_DO40_G10_AFR100,7.5,499,7.46989030176827,7.59187947290779,7.551554520791117,7.60020124814302,-0.03010969823172971,0.09187947290778986,0.10020124814302012,0.13031094637474983,0.10020124814302012,15,3.006012024048096
AMBR1_24,pH7.5_DO20_G10_AFR100,7.5,499,7.46917609066309,7.54699993133545,7.533958851842896,7.60402328872385,-0.030823909336909594,0.04699993133545011,0.10402328872384992,0.1348471980607595,0.10402328872384992,6,1.2024048096192386
AMBR2_5,pH6.5_DO100_G10_AFR100,6.5,452,6.47051857451725,6.5644097302305,6.5459935006693115,6.60037442409464,-0.029481425482750012,0.06440973023049956,0.10037442409463981,0.12985584957738983,0.10037442409463981,8,1.7699115044247788
AMBR2_6,pH7.5_DO100_G10_AFR100,7.5,452,7.46877862653354,7.5819181909713596,7.554544235059354,7.60100067823565,-0.031221373466459923,0.08191819097135955,0.10100067823564984,0.13222205170210977,0.10100067823564984,19,4.20353982300885
AMBR2_7,pH6.5_DO20_G10_AFR100,6.5,452,6.4705168007799,6.573085909958875,6.550252357483338,6.60036243319784,-0.029483199220099898,0.0730859099588752,0.10036243319783988,0.12984563241793978,0.10036243319783988,12,2.6548672566371683
AMBR2_8,pH7.5_DO20_G10_AFR100,7.5,451,7.46917970595169,7.57688557955697,7.552097597370021,7.61190202932708,-0.030820294048310437,0.07688557955697028,0.11190202932708004,0.14272232337539048,0.11190202932708004,14,3.1042128603104215
AMBR2_9,pH6.3_DO20_G20_AFR100,6.3,451,6.27048345993869,6.34294217648287,6.332770884045613,6.40236332032867,-0.02951654006130955,0.04294217648287013,0.1023633203286698,0.13187986038997934,0.1023633203286698,21,4.656319290465632
AMBR2_10,pH6.3_DO20_G20_AFR100,6.3,451,6.27040887053517,6.35599946975708,6.335049007259824,6.40381049886289,-0.02959112946482989,0.055999469757080256,0.10381049886288984,0.13340162832771973,0.10381049886288984,7,1.5521064301552108
AMBR2_13,pH6.5_DO20_G7_AFR100,6.5,450,6.47051859877041,6.5959997177124,6.570584419148365,6.60008042277337,-0.029481401229589643,0.09599971771239968,0.10008042277337026,0.1295618240029599,0.10008042277337026,4,0.8888888888888888
AMBR2_14,pH7.5_DO20_G7_AFR100,7.5,450,7.46831557514876,7.529479947386809,7.542517982085154,7.60091825194503,-0.03168442485123979,0.029479947386809258,0.10091825194503024,0.13260267679627002,0.10091825194503024,11,2.4444444444444446
AMBR2_15,pH6.5_DO5_G10_AFR100,6.5,449,6.47033545442726,6.57454614835637,6.55324856933938,6.60093232921828,-0.02966454557274023,0.07454614835636963,0.10093232921828044,0.13059687479102067,0.10093232921828044,1,0.22271714922048996
AMBR2_16,pH7.5_DO5_G10_AFR100,7.5,449,7.46999202178417,7.58421315479393,7.559926291257714,7.60792007047067,-0.030007978215829567,0.08421315479392977,0.1079200704706702,0.13792804868649977,0.1079200704706702,13,2.89532293986637
AMBR2_19,pH7.3_DO0_G10_AFR60,7.3,448,7.27085171777945,7.39134159793472,7.335396438937821,7.40044547636362,-0.029148282220550215,0.0913415979347203,0.10044547636362022,0.12959375858417044,0.10044547636362022,1,0.2232142857142857
AMBR2_20,pH7.3_DO0_G10_AFR40,7.3,448,7.27091949409129,7.316203790986825,7.326348938978962,7.4035210120912,-0.02908050590871003,0.01620379098682534,0.1035210120911998,0.13260151799990982,0.1035210120911998,3,0.6696428571428571
AMBR2_21,pH7.3_DO0_G10_AFR20,7.3,448,7.27087948715228,7.27216614164647,7.307061160553717,7.40008016507629,-0.02912051284771966,-0.027833858353529806,0.10008016507629058,0.12920067792401024,0.10008016507629058,2,0.4464285714285714
