Experiment_id,condition_label,initial_pH,pH_n,pH_min,pH_median,pH_mean,pH_max,min_minus_initial,median_minus_initial,max_minus_initial,range_width,max_abs_deviation
AMBR2_17,pH6.5_DO0_G10_AFR0,6.5,449,6.47182692519392,6.47542945523939,6.475931077257903,6.48527621202546,-0.028173074806080223,-0.024570544760609714,-0.014723787974539881,0.013449286831540341,0.028173074806080223
AMBR2_18,pH7.5_DO0_G10_AFR0,7.5,448,7.47109208648275,7.472386133574885,7.472981980455521,7.49456539699031,-0.02890791351724964,-0.02761386642511532,-0.005434603009690342,0.023473310507559297,0.02890791351724964
AMBR2_19,pH7.3_DO0_G10_AFR60,7.3,448,7.27085171777945,7.39134159793472,7.335396438937821,7.40044547636362,-0.029148282220550215,0.0913415979347203,0.10044547636362022,0.12959375858417044,0.10044547636362022
AMBR2_20,pH7.3_DO0_G10_AFR40,7.3,448,7.27091949409129,7.316203790986825,7.326348938978962,7.4035210120912,-0.02908050590871003,0.01620379098682534,0.1035210120911998,0.13260151799990982,0.1035210120911998
AMBR2_21,pH7.3_DO0_G10_AFR20,7.3,448,7.27087948715228,7.27216614164647,7.307061160553717,7.40008016507629,-0.02912051284771966,-0.027833858353529806,0.10008016507629058,0.12920067792401024,0.10008016507629058
AMBR2_22,pH7.3_DO0_G10_AFR10,7.3,447,7.2711365145052,7.27311051843633,7.305617484964367,7.40046969017871,-0.028863485494800223,-0.02688948156366955,0.1004696901787101,0.12933317567351033,0.1004696901787101
AMBR2_23,pH7.3_DO0_G10_AFR5,7.3,447,7.27086301497659,7.2719288675361,7.287357309918797,7.39995980318128,-0.029136985023409778,-0.028071132463900028,0.09995980318127984,0.12909678820468962,0.09995980318127984
AMBR2_24,pH7.5_DO0_G10_AFR0,7.5,447,7.47069358829199,7.47227632438373,7.478858279650055,7.53293268152405,-0.02930641170800996,-0.027723675616270427,0.03293268152405027,0.06223909323206023,0.03293268152405027
AMBR2_5,pH6.5_DO100_G10_AFR100,6.5,452,6.47051857451725,6.5644097302305,6.5459935006693115,6.60037442409464,-0.029481425482750012,0.06440973023049956,0.10037442409463981,0.12985584957738983,0.10037442409463981
AMBR2_6,pH7.5_DO100_G10_AFR100,7.5,452,7.46877862653354,7.5819181909713596,7.554544235059354,7.60100067823565,-0.031221373466459923,0.08191819097135955,0.10100067823564984,0.13222205170210977,0.10100067823564984
AMBR2_7,pH6.5_DO20_G10_AFR100,6.5,452,6.4705168007799,6.573085909958875,6.550252357483338,6.60036243319784,-0.029483199220099898,0.0730859099588752,0.10036243319783988,0.12984563241793978,0.10036243319783988
AMBR2_8,pH7.5_DO20_G10_AFR100,7.5,451,7.46917970595169,7.57688557955697,7.552097597370021,7.61190202932708,-0.030820294048310437,0.07688557955697028,0.11190202932708004,0.14272232337539048,0.11190202932708004
AMBR2_9,pH6.3_DO20_G20_AFR100,6.3,451,6.27048345993869,6.34294217648287,6.332770884045613,6.40236332032867,-0.02951654006130955,0.04294217648287013,0.1023633203286698,0.13187986038997934,0.1023633203286698
