fold_index,seed,split,observable,n,nrmse,mae,r2
0,42,test,DO_percent,501,0.0051928732657269,0.522930383682251,0.0
0,42,test,biomass_g_l,501,0.1165370670330546,0.973399579524994,0.5352076292037964
0,42,test,glucose_g_l,17,0.1110981459618546,1.6863699558035667,0.5849388446102894
0,42,test,pH,501,0.0532970538007761,0.0784459188580513,0.0
0,42,train,DO_percent,9350,0.0807291397259696,8.237076759338379,0.808268666267395
0,42,train,biomass_g_l,9072,0.0610664801620362,0.4982331991195678,0.9163053631782532
0,42,train,glucose_g_l,360,0.0333466843725846,0.4270527889610131,0.9729116622633236
0,42,train,pH,9350,0.0387382441292064,0.0450369082391262,0.986191749572754
0,42,val,DO_percent,501,0.0280761816987348,2.807776927947998,0.0
0,42,val,biomass_g_l,501,0.0496041633163385,0.4663842916488647,0.8753299117088318
0,42,val,glucose_g_l,17,0.0171742253012658,0.2394370805575849,0.989193577485482
0,42,val,pH,501,0.0484236196467727,0.0740572661161422,0.0
1,42,test,DO_percent,501,0.0300587945918044,3.534539222717285,0.0
1,42,test,biomass_g_l,501,0.0490901787601895,0.4520003497600555,0.8809678554534912
1,42,test,glucose_g_l,17,0.0167549039556374,0.2027945833065945,0.9884915638577496
1,42,test,pH,501,0.0475097216678455,0.0903660431504249,0.0
1,42,train,DO_percent,9399,0.0862512033576239,9.289816856384276,0.7754244804382324
1,42,train,biomass_g_l,9157,0.064352634433481,0.5292379260063171,0.9079381227493286
1,42,train,glucose_g_l,358,0.0362307272705161,0.4461893830222519,0.968276629517067
1,42,train,pH,9399,0.0555182561726027,0.0906961411237716,0.9555331468582152
1,42,val,DO_percent,452,0.083874059365506,10.032575607299805,0.749931812286377
1,42,val,biomass_g_l,416,0.0546635149676492,0.4412352442741394,0.8630806803703308
1,42,val,glucose_g_l,19,0.0348480040347871,0.4580144005761576,0.9551535083841416
1,42,val,pH,452,0.0318943370027618,0.0574650205671787,0.0
2,42,test,DO_percent,501,0.0152528272684026,1.5590044260025024,0.0
2,42,test,biomass_g_l,501,0.0341424634590819,0.3153540194034576,0.9409369826316832
2,42,test,glucose_g_l,17,0.0215072305702581,0.309684307237838,0.9830528523197212
2,42,test,pH,501,0.0259360543032688,0.0394331887364387,0.0
2,42,train,DO_percent,9401,0.0772859205149044,7.737064361572266,0.8209532499313354
2,42,train,biomass_g_l,9164,0.0576321811787435,0.475396990776062,0.9267632961273192
2,42,train,glucose_g_l,359,0.0361454680917467,0.4549808160181872,0.9687091139145751
2,42,train,pH,9401,0.0573326868277097,0.0901094824075698,0.953992486000061
2,42,val,DO_percent,450,0.1006219531460889,11.019229888916016,0.5609385967254639
2,42,val,biomass_g_l,409,0.0454707327404243,0.3200750052928924,0.8422570824623108
2,42,val,glucose_g_l,18,0.0392987778284184,0.4504609785573198,0.8760858511654216
2,42,val,pH,450,0.0531720955014642,0.1045035496354103,0.0
3,42,test,DO_percent,501,0.026119904058789,2.502089023590088,0.0
3,42,test,biomass_g_l,501,0.1076193287883826,0.969799280166626,0.5673309564590454
3,42,test,glucose_g_l,17,0.0511294227728007,0.7043552207293267,0.9057450813814916
3,42,test,pH,501,0.0465044486446948,0.0937867909669876,0.0
3,42,train,DO_percent,9403,0.0697010233929029,6.787121295928955,0.8393691778182983
3,42,train,biomass_g_l,9146,0.0504547572469604,0.4138798117637634,0.9430094361305236
3,42,train,glucose_g_l,358,0.0312197855520361,0.3703865757020572,0.9763680074448902
3,42,train,pH,9403,0.0583187503085374,0.0837194249033927,0.9516257643699646
3,42,val,DO_percent,448,0.1403835201072257,17.86908531188965,0.6852015852928162
3,42,val,biomass_g_l,427,0.0337151827292268,0.2639641165733337,0.96208655834198
3,42,val,glucose_g_l,19,0.0315830355416866,0.4038499184532838,0.9650610410293426
3,42,val,pH,448,0.0782992839373087,0.1621486842632293,0.0
