observable,n,rmse,mae,r2
glucose_mol_l,12,0.00012637326828829345,9.183752263197675e-05,0.9998986721038818
biomass_g_l,343,0.1579609182436923,0.11460892856121063,0.9898239970207214
O2_l_mol,343,1.850194302381134e-06,9.405450214217126e-07,0.9869208931922913
pH,343,0.006784036370766232,0.004357774276286364,0.9827695488929749
