observable,r2_train,r2_val
glucose_mol_l,0.9999004006385803,0.0
biomass_g_l,0.9904781579971313,0.9909268617630005
O2_l_mol,0.9860450625419617,0.9665701389312744
pH,0.9825681447982788,0.9817451238632202
