parameter,default_value,learned_value,range_low,range_high,relative_change
mu_max,0.009,5.432928810478188e-05,9e-06,9.0,-0.9939634124328021
Ksubs,0.005,0.9159438014030457,5e-07,5.0,182.18876028060913
KLaO2,2.0,1.9979788064956665,0.002,2000.0,-0.001010596752166748
KLaCO2,10.0,92.36492156982422,0.01,10000.0,8.236492156982422
