parameter,default_value,learned_value,range_low,range_high,relative_change
mu_max,0.009,0.004268611781299114,9e-06,9.0,-0.5257098020778762
Ksubs,0.005,0.009978018701076508,5e-07,5.0,0.9956037402153015
KLaO2,2.0,1.9999457597732544,0.002,2000.0,-2.7120113372802734e-05
KLaCO2,10.0,10.053074836730957,0.01,10000.0,0.005307483673095703
