Experiment_id,observable,n,nrmse,mae,r2
AMBR1_14,glucose_g_l,13,0.11343609317958298,1.619625984066928,0.0
AMBR1_14,biomass_g_l,350,0.35261742609785307,2.140880873918214,0.0
AMBR1_14,DO_percent,350,0.005384725062588395,0.5368293304165296,0.0
AMBR1_14,pH,350,0.19801534796075637,0.354056443458644,0.0
AMBR2_6,glucose_g_l,13,0.0008619168109804429,0.006630130656787778,0.0
AMBR2_6,biomass_g_l,316,0.39428046850167286,2.0571563699157154,0.0
AMBR2_6,DO_percent,316,0.003979276913124542,0.18058792005955143,0.0
AMBR2_6,pH,316,0.3604099333366587,0.6743625482231203,0.0
AMBR2_7,glucose_g_l,13,0.0028242215076425383,0.017287975033888417,0.0
AMBR2_7,biomass_g_l,316,0.27112745882333666,1.4363972505326912,0.0
AMBR2_7,DO_percent,316,0.4180801626315995,74.15000931724823,0.0
AMBR2_7,pH,316,0.5719606155551136,1.06203721114334,0.0
AMBR2_8,glucose_g_l,13,0.00042407792215588434,0.0028441857042567752,
AMBR2_8,biomass_g_l,315,0.5719130671214864,3.5110245574540415,0.0
AMBR2_8,DO_percent,315,0.4122518066796526,72.82428976246145,0.0
AMBR2_8,pH,315,0.3406835825331392,0.6365433165987965,0.0
AMBR2_9,glucose_g_l,13,0.12299286327890017,1.3743763941798646,0.08061742466412747
AMBR2_9,biomass_g_l,315,0.34310840050192837,2.059321801346535,0.0
AMBR2_9,DO_percent,315,0.34887286957856783,52.2005424561815,0.0
AMBR2_9,pH,315,0.40528862730133314,0.7004788428268028,0.0
AMBR2_10,glucose_g_l,12,0.1260574654274108,1.4257522943433532,0.06638203555999223
AMBR2_10,biomass_g_l,315,0.5041819564731056,3.1304983118237772,0.0
AMBR2_10,DO_percent,315,0.3511005524227499,52.502888582275446,0.0
AMBR2_10,pH,315,0.4014671949816893,0.6959403716867534,0.0
AMBR2_13,glucose_g_l,12,0.0011746714026730615,0.01311517966787506,0.0
AMBR2_13,biomass_g_l,315,0.39243788342379904,2.232487147599851,0.0
AMBR2_13,DO_percent,315,0.4344348473325738,77.75711847816683,0.0
AMBR2_13,pH,315,0.6501730395877025,1.2450078537122045,0.0
AMBR2_14,glucose_g_l,12,0.0030886300864668872,0.0190458995710378,0.0
AMBR2_14,biomass_g_l,315,0.36056091274537405,1.9128667916497852,0.0
AMBR2_14,DO_percent,315,0.4319958665357994,77.29977824559323,0.0
AMBR2_14,pH,315,0.43072527734926136,0.7741525019011479,0.0
AMBR2_15,glucose_g_l,12,0.0012079626240715827,0.01311205816130191,0.0
AMBR2_15,biomass_g_l,314,0.3423347767412222,1.8858342730614333,0.0
AMBR2_15,DO_percent,314,0.5003010796995951,88.97355763455955,0.0
AMBR2_15,pH,314,0.5632326191349402,1.043047888303428,0.0
AMBR2_16,glucose_g_l,12,0.0026030759273143757,0.02875620076011425,0.0
AMBR2_16,biomass_g_l,314,0.37023376796661767,1.8635364876361236,0.0
AMBR2_16,DO_percent,314,0.4976235969661157,88.60493931440898,0.0
AMBR2_16,pH,314,0.3299561647369104,0.6176559897352296,0.0
AMBR2_19,glucose_g_l,13,0.05658943085243714,0.5884662369348314,0.0
AMBR2_19,biomass_g_l,313,0.3105236978129709,1.6966652677181007,0.0
AMBR2_19,DO_percent,313,0.4419945623116095,67.65974535434096,0.0
AMBR2_19,pH,313,0.27771749253401046,0.48932695365548773,0.0
AMBR1_15,glucose_g_l,13,0.03540565990352998,0.38807723866994515,0.664509549953954
AMBR1_15,biomass_g_l,350,0.4224447085025396,2.5666592287370746,0.0
AMBR1_15,DO_percent,350,0.009060926053651453,0.7539065748707808,0.0
AMBR1_15,pH,350,0.2212281533487186,0.41315178946752973,0.0
AMBR2_20,glucose_g_l,13,0.06291924216290688,0.7017627617122624,0.0431685974509709
AMBR2_20,biomass_g_l,313,0.24401473695282527,1.3450233562928178,0.0
AMBR2_20,DO_percent,313,0.42868799909124855,64.0425515872296,0.0
AMBR2_20,pH,313,0.24933860711507722,0.4300334803846033,0.0
AMBR2_21,glucose_g_l,13,0.08797456356571996,1.1522505185719973,0.0
AMBR2_21,biomass_g_l,313,0.19392753224809325,1.1572753293881024,0.0
AMBR2_21,DO_percent,313,0.3871145621465984,53.06490277926249,0.0
AMBR2_21,pH,313,0.22087572736457134,0.36303170363482923,0.0
AMBR1_16,glucose_g_l,13,0.02933702463067682,0.27912288731266127,0.8079106774417574
AMBR1_16,biomass_g_l,350,0.4271060031363882,2.5933744148288307,0.0
AMBR1_16,DO_percent,350,0.009039882545561203,0.8622352148790463,0.0
AMBR1_16,pH,350,0.2869038838178038,0.4814421961631361,0.0
