parameter,default_value,learned_value,range_low,range_high,relative_change
mu_max,0.009,0.004804248455911875,9e-06,9.0,-0.4661946160097917
Ksubs,0.005,0.010994277894496918,5e-07,5.0,1.1988555788993835
KLaO2,2.0,1.9999457597732544,0.002,2000.0,-2.7120113372802734e-05
KLaCO2,10.0,10.03310775756836,0.01,10000.0,0.0033107757568359374
