loss,data_loss,val_data_loss,residual_loss,auxiliary_loss,regularization_loss,r2_scores_train,r2_scores_val,softadapt_data_weight,softadapt_residual_weight,softadapt_auxiliary_weight,softadapt_regularization_weight,r2_train_glucose_mol_l,r2_val_glucose_mol_l,r2_train_biomass_g_l,r2_val_biomass_g_l,r2_train_DO_percent,r2_val_DO_percent,r2_train_pH,r2_val_pH
0.47365474700927734,0.4736511707305908,0.41294968128204346,3.569862883523456e-06,9.094947153254554e-14,0.0,0.08598697185516357,0.0032442808151245117,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3439478874206543,0.012977123260498047,0.0,0.0
0.47089749574661255,0.4708939492702484,0.41065502166748047,3.5545069749787217e-06,9.094947153254554e-14,0.0,0.08604894578456879,0.0028889328241348267,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.34419578313827515,0.011555731296539307,0.0,0.0
0.1840374618768692,0.4684644937515259,0.40848344564437866,3.5404746085987426e-06,9.094947153254554e-14,0.0,0.08611813187599182,0.002559170126914978,0.3928501605987549,0.31641867756843567,0.14536555111408234,0.14536553621292114,0.0,0.0,0.0,0.0,0.3444725275039673,0.010236680507659912,0.0,0.0
0.1832018345594406,0.46608245372772217,0.40629953145980835,3.5288562685309444e-06,9.094947153254554e-14,0.0,0.08616006374359131,0.002310022711753845,0.39306503534317017,0.31623727083206177,0.14534884691238403,0.14534881711006165,0.0,0.0,0.0,0.0,0.34464025497436523,0.00924009084701538,0.0,0.0
0.18232060968875885,0.46379661560058594,0.40423446893692017,3.5161531286576064e-06,9.094947153254554e-14,0.0,0.0862215906381607,0.0020559877157211304,0.3931022584438324,0.31619423627853394,0.14535178244113922,0.14535175263881683,0.0,0.0,0.0,0.0,0.3448863625526428,0.008223950862884521,0.0,0.0
0.1814984232187271,0.4615361988544464,0.40241482853889465,3.504536152831861e-06,9.094947153254554e-14,0.0,0.0862821489572525,0.001731187105178833,0.3932461142539978,0.3159964680671692,0.1453787237405777,0.1453787088394165,0.0,0.0,0.0,0.0,0.34512859582901,0.006924748420715332,0.0,0.0
0.18074919283390045,0.45956599712371826,0.40044569969177246,3.4940044315590058e-06,9.094947153254554e-14,0.0,0.0863092690706253,0.0014954060316085815,0.39330169558525085,0.3159087002277374,0.14539483189582825,0.14539480209350586,0.0,0.0,0.0,0.0,0.3452370762825012,0.005981624126434326,0.0,0.0
0.1800013929605484,0.4574480950832367,0.39843496680259705,3.482485453787376e-06,9.094947153254554e-14,0.0,0.0863717645406723,0.001200363039970398,0.3934879004955292,0.3157607316970825,0.14537568390369415,0.14537566900253296,0.0,0.0,0.0,0.0,0.3454870581626892,0.004801452159881592,0.0,0.0
0.17915210127830505,0.4552764296531677,0.3966071903705597,3.4711347325355746e-06,9.094947153254554e-14,0.0,0.08639165759086609,0.0008727610111236572,0.3934994041919708,0.3156418800354004,0.145429328083992,0.145429328083992,0.0,0.0,0.0,0.0,0.34556663036346436,0.003491044044494629,0.0,0.0
0.17839576303958893,0.4533151686191559,0.3947131037712097,3.460929974608007e-06,9.094947153254554e-14,0.0,0.08643096685409546,0.0005900263786315918,0.3935334384441376,0.3155422806739807,0.14546211063861847,0.14546209573745728,0.0,0.0,0.0,0.0,0.34572386741638184,0.002360105514526367,0.0,0.0
0.17767280340194702,0.45131272077560425,0.3927622437477112,3.4508875614847057e-06,9.094947153254554e-14,0.0,0.08648952841758728,0.0003627389669418335,0.39367762207984924,0.31541943550109863,0.14545148611068726,0.14545145630836487,0.0,0.0,0.0,0.0,0.3459581136703491,0.001450955867767334,0.0,0.0
0.17683830857276917,0.44915470480918884,0.3909474015235901,3.439587089815177e-06,9.094947153254554e-14,0.0,0.0865265280008316,8.006393909454346e-05,0.3937111496925354,0.31532928347587585,0.14547979831695557,0.14547976851463318,0.0,0.0,0.0,0.0,0.3461061120033264,0.00032025575637817383,0.0,0.0
0.17608225345611572,0.4472213387489319,0.38910770416259766,3.4287556900380878e-06,9.094947153254554e-14,0.0,0.08656583726406097,0.0,0.39372265338897705,0.3152031898498535,0.14553706347942352,0.14553703367710114,0.0,0.0,0.0,0.0,0.3462633490562439,0.0,0.0,0.0
0.17538541555404663,0.4452562630176544,0.38717809319496155,3.418664164200891e-06,9.094947153254554e-14,0.0,0.08659964799880981,0.0,0.3938952684402466,0.3150419592857361,0.14553138613700867,0.14553138613700867,0.0,0.0,0.0,0.0,0.34639859199523926,0.0,0.0,0.0
0.17456406354904175,0.44314074516296387,0.38544267416000366,3.4084187063854188e-06,9.094947153254554e-14,0.0,0.08663472533226013,0.0,0.39392223954200745,0.31496894359588623,0.14555440843105316,0.14555437862873077,0.0,0.0,0.0,0.0,0.3465389013290405,0.0,0.0,0.0
0.17383214831352234,0.4413010776042938,0.3835929036140442,3.397476803002064e-06,9.094947153254554e-14,0.0,0.08665646612644196,0.0,0.3939058482646942,0.3148933947086334,0.1456003487110138,0.1456003338098526,0.0,0.0,0.0,0.0,0.3466258645057678,0.0,0.0,0.0
0.17313754558563232,0.4392825961112976,0.38170158863067627,3.3871417599584674e-06,9.094947153254554e-14,0.0,0.08668763935565948,0.0,0.39413461089134216,0.3146703243255615,0.14559754729270935,0.14559754729270935,0.0,0.0,0.0,0.0,0.34675055742263794,0.0,0.0,0.0
0.17232507467269897,0.43727368116378784,0.3799912929534912,3.377078655830701e-06,9.094947153254554e-14,0.0,0.0867127776145935,0.0,0.3940873444080353,0.3146294057369232,0.14564161002635956,0.14564159512519836,0.0,0.0,0.0,0.0,0.346851110458374,0.0,0.0,0.0
0.17160077393054962,0.4353698492050171,0.3781513273715973,3.3663163776509464e-06,9.094947153254554e-14,0.0,0.08676046133041382,0.0,0.39414697885513306,0.3145259618759155,0.1456635445356369,0.1456635296344757,0.0,0.0,0.0,0.0,0.3470418453216553,0.0,0.0,0.0
0.1708793193101883,0.43338799476623535,0.37625616788864136,3.356649813213153e-06,9.094947153254554e-14,0.0,0.08677691221237183,0.0,0.394284725189209,0.3143502473831177,0.14568251371383667,0.14568248391151428,0.0,0.0,0.0,0.0,0.3471076488494873,0.0,0.0,0.0
0.17009088397026062,0.4313969612121582,0.3744978904724121,3.346183802932501e-06,9.094947153254554e-14,0.0,0.08679194748401642,0.0,0.39427682757377625,0.31430622935295105,0.14570845663547516,0.14570844173431396,0.0,0.0,0.0,0.0,0.3471677899360657,0.0,0.0,0.0
0.16937759518623352,0.4295048117637634,0.37280091643333435,3.3346700547554065e-06,9.094947153254554e-14,0.0,0.08681857585906982,0.0,0.39435309171676636,0.31416141986846924,0.14574278891086578,0.1457427740097046,0.0,0.0,0.0,0.0,0.3472743034362793,0.0,0.0,0.0
