observable,n,rmse,mae,r2
glucose_mol_l,13,0.0006501992666904255,0.00037701151450164616,0.9986621141433716
biomass_g_l,354,0.18233061556022656,0.1333945244550705,0.9876179099082947
O2_l_mol,354,2.244985375295374e-06,1.2228157402205397e-06,0.9812096953392029
pH,354,0.0070089879785066155,0.004683562088757753,0.9796905517578125
