parameter,default_value,learned_value,range_low,range_high,relative_change
mu_max,0.009,0.00010904630471486598,9e-06,9.0,-0.9878837439205704
Ksubs,0.005,0.45202332735061646,5e-07,5.0,89.40466547012329
KLaO2,2.0,1.9990516901016235,0.002,2000.0,-0.0004741549491882324
KLaCO2,10.0,476.73883056640625,0.01,10000.0,46.673883056640626
