parameter,default_value,learned_value,range_low,range_high,relative_change
mu_max,0.009,0.005013997200876474,9e-06,9.0,-0.44288919990261394
Ksubs,0.005,0.009569428861141205,5e-07,5.0,0.913885772228241
KLaO2,2.0,1.9999457597732544,0.002,2000.0,-2.7120113372802734e-05
KLaCO2,10.0,10.028040885925293,0.01,10000.0,0.002804088592529297
