parameter,default_value,learned_value,range_low,range_high,relative_change
mu_max,0.009,0.005339616909623146,9e-06,9.0,-0.40670923226409483
Ksubs,0.005,0.008973829448223114,5e-07,5.0,0.7947658896446228
KLaO2,2.0,1.9999457597732544,0.002,2000.0,-2.7120113372802734e-05
KLaCO2,10.0,10.027444839477539,0.01,10000.0,0.0027444839477539064
