Benchmark,Observation fraction,Observable,R2 mean,R2 median,R2 std,MAE mean,MAE median,MAE std,NRMSE mean,NRMSE median,NRMSE std
Forecasting Scan,0.1,Biomass / OD,0.01876646458327147,0.0,0.08802252123754474,2.15666589154361,1.999352676669367,1.2117033504173726,3.4330753548019772,3.2114001086437307,1.8147764110596871
Forecasting Scan,0.1,Glucose,0.0,0.0,0.0,81.03161871413656,78.50280821726949,6.548007212589935,6.080343653143996,5.842131539461316,0.5028503787128193
Forecasting Scan,0.1,DO,0.0,0.0,0.0,33.38082033105432,41.91503542785317,26.14490720852038,0.48333999184515003,0.6717815279862471,0.3556948839886559
Forecasting Scan,0.1,pH,0.0,0.0,0.0,0.8476054452655952,1.0684197451253372,0.48761306251928993,0.4394593559603639,0.5445757215197645,0.24697242677699957
Forecasting Scan,0.2,Biomass / OD,0.0,0.0,0.0,23.61070705833907,24.174905422226725,5.310562519050137,8.333207091516865,8.459989510984009,1.8491076456219855
Forecasting Scan,0.2,Glucose,0.09270681916431908,0.0,0.2171099760937233,2.917451428794006,2.5603320534968965,0.9535395286746811,0.19843354661264623,0.16846903499119137,0.06836341894348925
Forecasting Scan,0.2,DO,0.0,0.0,0.0,37.266937075385606,46.22515779867433,29.842209168369617,0.39937000875926915,0.538136393418327,0.29892236038234954
Forecasting Scan,0.2,pH,0.0,0.0,0.0,0.46404621591117684,0.4760891352089403,0.2634836228213734,0.23584383018495816,0.245155260930366,0.12958566260733267
Forecasting Scan,0.3,Biomass / OD,0.0,0.0,0.0,2.0298331737530915,1.9538853766955326,0.5923743989505446,0.35583016997141564,0.3480846605265612,0.08776478279430641
Forecasting Scan,0.3,Glucose,0.2727705966421196,0.242686277464726,0.3115457033497045,0.5072131405595381,0.27948105458358474,0.5977354373973071,0.0435062984933653,0.029957116596235747,0.04661784902290651
Forecasting Scan,0.3,DO,0.0,0.0,0.0,41.77507686052986,52.35171551922848,33.58086023295773,0.25649457187293767,0.3499867110006588,0.19678645069205197
Forecasting Scan,0.3,pH,0.0,0.0,0.0,0.6554550512120224,0.627099653167013,0.27210208787299034,0.36068489865260545,0.3353198736350248,0.14165752945324298
Forecasting Scan,0.4,Biomass / OD,0.006248603872006355,0.0,0.02930855007815231,1.6212413480595174,1.5079936659222444,1.0058895478560925,0.22542392555896654,0.2214349914124778,0.13180288851503594
Forecasting Scan,0.4,Glucose,0.4850584228492284,0.4289101129659308,0.3538301013248852,0.16806939399363607,0.057953375529749496,0.23360156785269062,0.013175611102372477,0.007045922203153,0.01580216483447458
Forecasting Scan,0.4,DO,0.0,0.0,0.0,45.77464515796715,60.974217733683204,35.910741203304156,0.27026453266892225,0.3780222247211418,0.20688069346440904
Forecasting Scan,0.4,pH,0.0,0.0,0.0,0.22986247876410168,0.22115451170087885,0.17458474223285966,0.12331510500457118,0.13043642020969043,0.08726620298970765
