loss,data_loss,val_data_loss,residual_loss,auxiliary_loss,regularization_loss,r2_scores_train,r2_scores_val,softadapt_data_weight,softadapt_residual_weight,softadapt_auxiliary_weight,softadapt_regularization_weight,r2_train_glucose_mol_l,r2_val_glucose_mol_l,r2_train_biomass_g_l,r2_val_biomass_g_l,r2_train_DO_percent,r2_val_DO_percent,r2_train_pH,r2_val_pH
0.44525569677352905,0.44525232911109924,,3.3738967886165483e-06,1.2402200848336126e-13,0.0,0.08554567396640778,,1.0,1.0,1.0,1.0,0.0,,0.0,,0.3421826958656311,,0.0,
0.4425349533557892,0.4425315856933594,,3.3578596685401862e-06,1.2402200848336126e-13,0.0,0.08563655614852905,,1.0,1.0,1.0,1.0,0.0,,0.0,,0.3425462245941162,,0.0,
0.17343749105930328,0.4401543140411377,,3.3429691939090844e-06,1.2402200848336126e-13,0.0,0.08572115004062653,,0.3940355181694031,0.3142717778682709,0.1458463817834854,0.1458463817834854,0.0,,0.0,,0.3428846001625061,,0.0,
0.1726275086402893,0.4378213882446289,,3.3305025226582075e-06,1.2402200848336126e-13,0.0,0.08579383790493011,,0.3942851424217224,0.3140528202056885,0.14583103358745575,0.14583103358745575,0.0,,0.0,,0.34317535161972046,,0.0,
0.17176227271556854,0.4355751872062683,,3.3168892059620703e-06,1.2402200848336126e-13,0.0,0.0858662873506546,,0.39433199167251587,0.31399214267730713,0.1458379179239273,0.1458379030227661,0.0,,0.0,,0.3434651494026184,,0.0,
0.17095382511615753,0.433353066444397,,3.304166966699995e-06,1.2402200848336126e-13,0.0,0.08593277633190155,,0.39448845386505127,0.3137695789337158,0.14587099850177765,0.14587098360061646,0.0,,0.0,,0.3437311053276062,,0.0,
0.1702088564634323,0.43138518929481506,,3.292551809863653e-06,1.2402200848336126e-13,0.0,0.08599761128425598,,0.39456114172935486,0.31365153193473816,0.14589367806911469,0.1458936631679535,0.0,,0.0,,0.3439904451370239,,0.0,
0.16949418187141418,0.42936941981315613,,3.2807092793518677e-06,1.2402200848336126e-13,0.0,0.08605949580669403,,0.3947490155696869,0.31348827481269836,0.14588135480880737,0.14588132500648499,0.0,,0.0,,0.3442379832267761,,0.0,
0.16869527101516724,0.42728739976882935,,3.2685506994312163e-06,1.2402200848336126e-13,0.0,0.08613036572933197,,0.3948027491569519,0.31335633993148804,0.14592045545578003,0.14592042565345764,0.0,,0.0,,0.3445214629173279,,0.0,
0.16792374849319458,0.4252818524837494,,3.2567413654760458e-06,1.2402200848336126e-13,0.0,0.08619482815265656,,0.3948504626750946,0.3132219612598419,0.14596378803253174,0.14596378803253174,0.0,,0.0,,0.3447793126106262,,0.0,
