parameter,default_value,learned_value,range_low,range_high,relative_change
mu_max,0.009,0.004985297564417124,9e-06,9.0,-0.44607804839809734
Ksubs,0.005,0.0097537562251091,5e-07,5.0,0.9507512450218201
KLaO2,2.0,1.9999457597732544,0.002,2000.0,-2.7120113372802734e-05
KLaCO2,10.0,10.031021118164062,0.01,10000.0,0.00310211181640625
