observable,n,nrmse,mae,r2
glucose_g_l,166,0.031628372849003016,0.4908897800230057,0.978605279279274
biomass_g_l,3865,0.05414292286690041,0.30725523829460144,0.9553812742233276
DO_percent,4143,0.1102519133469165,8.984617233276367,0.7267061471939087
pH,4143,0.07614627421428151,0.12238252907991409,0.9184484481811523
