parameter,default_value,learned_value,range_low,range_high,relative_change
mu_max,0.009,0.0042678071185946465,9e-06,9.0,-0.5257992090450393
Ksubs,0.005,0.010714732110500336,5e-07,5.0,1.1429464221000671
KLaO2,2.0,1.9999457597732544,0.002,2000.0,-2.7120113372802734e-05
KLaCO2,10.0,10.050393104553223,0.01,10000.0,0.005039310455322266
