parameter,default_value,learned_value,range_low,range_high,relative_change
mu_max,0.009,0.005057985428720713,9e-06,9.0,-0.4380016190310319
Ksubs,0.005,0.009497754275798798,5e-07,5.0,0.8995508551597595
KLaO2,2.0,1.9999457597732544,0.002,2000.0,-2.7120113372802734e-05
KLaCO2,10.0,10.029531478881836,0.01,10000.0,0.0029531478881835937
